Name,City,Cuisine Style,Ranking,Rating,Number of Reviews
Bussia,Amsterdam,"['Italian', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",41,4.5,959
Ashoka Restaurant,Amsterdam,"['Indian', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",42,4.5,718
The Seafood Bar,Amsterdam,"['Seafood', 'European', 'Soups', 'Gluten Free Options']",43,4.5,4709
Mossel en Gin,Amsterdam,"['Dutch', 'Seafood', 'International']",44,4.5,408
Frens Haringhandel,Amsterdam,"['Dutch', 'Delicatessen', 'Healthy', 'Street Food', 'Seafood']",45,4.5,431
Ivy & Bros,Amsterdam,"['Cafe', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",46,4.5,757
B&B Lunchroom Leidsestraat,Amsterdam,"['Dutch', 'Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options']",47,4.5,403
Toastable Koningsplein,Amsterdam,"['Cafe', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",48,4.5,781
Nader Grill Steakhouse,Amsterdam,"['Steakhouse', 'Barbecue', 'European', 'Grill', 'Vegetarian Friendly']",49,4.5,187
Piadina Bar,Amsterdam,"['Italian', 'Bar', 'Cafe', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",50,4.5,508
Mook Pancakes,Amsterdam,"['Dutch', 'European']",51,4.5,681
Van Kerkwijk,Amsterdam,"['Dutch', 'European', 'Diner', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",52,4.5,1995
d&a hummus bistro,Amsterdam,"['Mediterranean', 'Healthy', 'Street Food', 'Lebanese', 'Middle Eastern', 'Israeli', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",53,4.5,414
De Kas,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",54,4.5,1573
Eetcafe Singel 404,Amsterdam,"['Dutch', 'Cafe', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",55,4.5,490
De Struisvogel,Amsterdam,"['French', 'Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",56,4.5,517
Restaurant Johannes,Amsterdam,"['French', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",57,4.5,1065
The Seafood Bar Ferdinand Bol,Amsterdam,"['Seafood', 'European', 'Gluten Free Options']",58,4.5,348
Guts & Glory,Amsterdam,"['International', 'European', 'Vegetarian Friendly']",59,4.5,555
Thai Phutakun,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",60,4.5,530
